Seed,n,m,Zeit [s],Marginalfehler,Kosten,istGueltig
9,5000,5000,2.391735600074753,1.1362438767648086e-16,14.08310861558265,True
0,6000,6000,3.884665099903941,6.852157730108388e-17,25.556950106196346,True
1,6000,6000,3.287131200078875,6.022743068156977e-17,30.251836682239958,True
2,6000,6000,4.166930099949241,8.294146619514109e-18,15.321711954583538,True
3,6000,6000,3.620090200100094,3.4640259410911867e-17,14.623705511099782,True
4,6000,6000,3.907255200203508,1.610040226140974e-16,10.658662551933217,True
5,6000,6000,3.4563516001217067,1.349831704744453e-16,13.379603203313255,True
6,6000,6000,3.2732563000172377,2.7321894746634712e-17,15.884718472335102,True
7,6000,6000,3.1489478000439703,1.3379054808471125e-16,19.103630260803186,True
8,6000,6000,3.7657820000313222,1.8648277366750676e-17,29.86574313662073,True
9,6000,6000,3.817548700142652,7.673440875766158e-17,29.370655769651698,True
0,7000,7000,5.4539036001078784,3.480288973678469e-17,25.28096533010706,True
1,7000,7000,nan,nan,nan,False
2,7000,7000,5.531172899994999,4.87890977618477e-18,13.559649770581283,True
3,7000,7000,nan,nan,nan,False
4,7000,7000,5.178251100005582,4.130810277169772e-17,24.819049865095188,True
5,7000,7000,5.46636230009608,5.318011656041399e-17,18.48926139225074,True
6,7000,7000,5.035373300081119,8.348356728138384e-18,15.917061575438407,True
7,7000,7000,5.309799900045618,7.48099499014998e-18,12.522606509936288,True
8,7000,7000,5.6845595999620855,1.1248597539537109e-17,16.270633062168663,True
9,7000,7000,5.179546999977902,7.800834631033204e-17,18.730195266599296,True
0,8000,8000,7.625069099944085,1.0480338656377458e-16,15.461398595789172,True
1,8000,8000,nan,nan,nan,False
2,8000,8000,nan,nan,nan,False
3,8000,8000,nan,nan,nan,False
4,8000,8000,7.261802499881014,1.1720225484568303e-16,29.78941349947018,True
5,8000,8000,nan,nan,nan,False
6,8000,8000,nan,nan,nan,False
7,8000,8000,7.347605200018734,1.7103289270958832e-16,13.930137597053822,True
8,8000,8000,6.992986100027338,9.134403303190375e-17,23.54787288181533,True
9,8000,8000,8.179354300023988,2.878556767949014e-17,11.446916665226164,True
0,9000,9000,nan,nan,nan,False
1,9000,9000,nan,nan,nan,False
2,9000,9000,nan,nan,nan,False
3,9000,9000,nan,nan,nan,False
4,9000,9000,nan,nan,nan,False
5,9000,9000,nan,nan,nan,False
6,9000,9000,nan,nan,nan,False
7,9000,9000,nan,nan,nan,False
8,9000,9000,8.893119000131264,6.762711050878334e-17,20.785467251645017,True
9,9000,9000,nan,nan,nan,False
0,10000,10000,nan,nan,nan,False
1,10000,10000,nan,nan,nan,False
2,10000,10000,nan,nan,nan,False
3,10000,10000,nan,nan,nan,False
4,10000,10000,nan,nan,nan,False
5,10000,10000,nan,nan,nan,False
6,10000,10000,nan,nan,nan,False
7,10000,10000,nan,nan,nan,False
8,10000,10000,7.153918599942699,6.407634839389331e-17,37.02357025133282,True
9,10000,10000,nan,nan,nan,False
