Seed,n,m,eps,gamma,Iterationen,Zeit [s],Marginalfehler,Kostendifferenz,Kosten Newton,Kosten Simplex
7,64,64,1,1e-11,91,0.1282371999695897,1.5227027624908906e-10,9.999224970247411e-08,0.8667987023118902,0.8667988023041399
8,64,64,1,1e-11,76,0.11168860015459359,1.7791879775019837e-10,8.963099951131426e-08,2.1968283687677856,2.196828458398785
9,64,64,1,1e-11,83,0.1273293998092413,2.2121805082209178e-10,1.4426469618911142e-07,3.6624212997997043,3.6624214440644005
0,64,64,1,5e-12,121,0.20909630018286407,1.5709499326388432e-10,2.159270593438123e-07,5.514785665444567,5.514785881371626
1,64,64,1,5e-12,105,0.15684289997443557,1.0524730739702726e-10,6.923940243375171e-08,1.7072529832351895,1.707253052474592
2,64,64,1,5e-12,112,0.1706652999855578,1.3965253606307293e-10,1.5148432996880956e-07,2.360635249655716,2.360635401140046
3,64,64,1,5e-12,96,0.13610789994709194,8.228142125976667e-11,3.701362238928141e-08,1.4381066717117403,1.4381067087253627
4,64,64,1,5e-12,135,0.18927810015156865,1.3185338237908795e-10,1.6283865433841527e-07,1.2167597305562925,1.2167598933949468
5,64,64,1,5e-12,95,0.13222779985517263,6.802308022413328e-11,3.091590961012969e-08,1.612291338457944,1.6122913693738536
6,64,64,1,5e-12,97,0.14257829985581338,4.953460558398959e-11,1.739133592693065e-08,1.2730908926698512,1.2730909100611871
7,64,64,1,5e-12,91,0.132289299974218,7.613384575555493e-11,4.999610114797548e-08,0.8667987523080387,0.8667988023041399
8,64,64,1,5e-12,76,0.12278580013662577,8.895351816251562e-11,4.481552817736656e-08,2.196828413583257,2.196828458398785
9,64,64,1,5e-12,83,0.13300189981237054,1.1060253407579879e-10,7.213199548772309e-08,3.662421371932405,3.6624214440644005
0,64,64,1,1e-12,1,0.0016348001081496477,0.030839793733637526,5.514785881371626,0.0,5.514785881371626
1,64,64,1,1e-12,1,0.0014621999580413103,0.0344503213287673,1.707253052474592,0.0,1.707253052474592
2,64,64,1,1e-12,1,0.0013244999572634697,0.03362188788010952,2.360635401140046,0.0,2.360635401140046
3,64,64,1,1e-12,1,0.0013490000274032354,0.03250036608045165,1.4381067087253627,0.0,1.4381067087253627
4,64,64,1,1e-12,1,0.001383999828249216,0.02933926383184465,1.2167598933949468,0.0,1.2167598933949468
5,64,64,1,1e-12,1,0.001437600003555417,0.030560713758103212,1.6122913693738536,0.0,1.6122913693738536
6,64,64,1,1e-12,1,0.0030446997843682766,0.032232781283817985,1.2730909100611871,0.0,1.2730909100611871
7,64,64,1,1e-12,1,0.0015678999479860067,0.030767844781571616,0.8667988023041399,0.0,0.8667988023041399
8,64,64,1,1e-12,1,0.001447299961000681,0.030948580419467863,2.196828458398785,0.0,2.196828458398785
9,64,64,1,1e-12,1,0.0013387000653892756,0.032421488102611994,3.6624214440644005,0.0,3.6624214440644005
0,64,64,0.01,0.0001,212,0.2619326999410987,0.0025218616234682738,3.291177384500072,2.223608496871554,5.514785881371626
1,64,64,0.01,0.0001,164,0.22992840013466775,0.0012307746814250904,0.6400943283579905,1.0671587241166014,1.707253052474592
2,64,64,0.01,0.0001,213,0.2610084000043571,0.0019283016534277463,1.3969599058276465,0.9636754953123994,2.360635401140046
3,64,64,0.01,0.0001,180,0.22673459979705513,0.0009857184981895313,0.40569933797171087,1.0324073707536519,1.4381067087253627
4,64,64,0.01,0.0001,148,0.17347619985230267,0.0009194250974987987,0.5497253270115292,0.6670345663834176,1.2167598933949468
5,64,64,0.01,0.0001,154,0.17850849987007678,0.0008578439312111816,0.2722754706871897,1.340015898686664,1.6122913693738536
6,64,64,0.01,0.0001,183,0.21241139993071556,0.0008049981424589417,0.2520670471142079,1.0210238629469792,1.2730909100611871
7,64,64,0.01,0.0001,174,0.2076232999097556,0.0007320898412617113,0.2294388797770256,0.6373599225271143,0.8667988023041399
8,64,64,0.01,0.0001,178,0.20724350004456937,0.0012947970958481006,0.6456010012077784,1.5512274571910067,2.196828458398785
9,64,64,0.01,0.0001,193,0.22015329985879362,0.0017644410899974108,1.2933391123519762,2.3690823317124243,3.6624214440644005
0,64,64,0.01,5e-05,239,0.2912082001566887,0.0013486264095989124,1.9276543320372603,3.587131549334366,5.514785881371626
1,64,64,0.01,5e-05,202,0.2456633998081088,0.0008734186308074939,0.49872390670173994,1.208529145772852,1.707253052474592
2,64,64,0.01,5e-05,234,0.27182239992544055,0.0012406599470071965,1.0716392818272995,1.2889961193127464,2.360635401140046
3,64,64,0.01,5e-05,195,0.22356990003027022,0.0005409206564307607,0.2524795211576012,1.1856271875677615,1.4381067087253627
4,64,64,0.01,5e-05,190,0.2251180000603199,0.0006801579664130024,0.48113682532279145,0.7356230680721554,1.2167598933949468
5,64,64,0.01,5e-05,166,0.19668169994838536,0.00046597154973342797,0.16660758620353855,1.445683783170315,1.6122913693738536
6,64,64,0.01,5e-05,221,0.25709849991835654,0.00041077231776310424,0.13936538279373867,1.1337255272674485,1.2730909100611871
7,64,64,0.01,5e-05,173,0.18695959984324872,0.00041727704152182826,0.1688966929882999,0.69790210931584,0.8667988023041399
8,64,64,0.01,5e-05,221,0.2537966000381857,0.0007994318325745889,0.4007043735179949,1.7961240848807902,2.196828458398785
